Sex,AgeClass,dx
Male,0,8
Male,10,5
Male,20,12
Male,30,22
Male,40,27
Male,50,38
Male,60,44
Male,70,52
Male,80,28
Male,90,9
Male,100,0
Female,0,6
Female,10,1
Female,20,9
Female,30,11
Female,40,16
Female,50,16
Female,60,28
Female,70,44
Female,80,34
Female,90,23
Female,100,0
