Sex,AgeClass,dx
Male,0,97
Male,10,40
Male,20,48
Male,30,74
Male,40,82
Male,50,139
Male,60,273
Male,70,419
Male,80,321
Male,90,78
Male,100,3
Male,110,0
Female,0,85
Female,10,28
Female,20,63
Female,30,77
Female,40,94
Female,50,136
Female,60,260
Female,70,375
Female,80,376
Female,90,122
Female,10,9
Female,110,0
