Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
T,5,4,9,20,
W,1,4,10,10,
W,2,4,10,7,
W,3,4,10,,h
W,4,4,10,18,
W,5,4,10,10,
W,1,4,11,8,
W,2,4,11,16,
W,3,4,11,10,
W,4,4,11,13,
W,5,4,11,12,
W,1,4,12,19,
W,2,4,12,12,
W,3,4,12,23,
W,4,4,12,10,
W,5,4,12,12,
W,1,4,13,7,
W,2,4,13,6,
W,3,4,13,9,
W,4,4,13,9,
W,5,4,13,7,
W,1,4,14,10,
W,2,4,14,8,
W,1,4,15,8,
W,2,4,15,14,
W,3,4,15,16,
W,4,4,15,12,
W,5,4,15,10,
W,1,4,16,9,
W,2,4,16,9,
W,3,4,16,8,
W,4,4,16,5,
W,5,4,16,,g
M,1,5,1,13,
M,2,5,1,28,
M,3,5,1,,h
M,4,5,1,,h
M,5,5,1,23,
M,1,5,2,7,
M,2,5,2,15,
M,3,5,2,15,
M,1,5,3,22,
M,2,5,3,31,
M,3,5,3,8,
M,4,5,3,13,
M,5,5,3,14,
M,1,5,4,9,
M,2,5,4,30,
M,4,5,4,8,
M,5,5,4,17,
M,1,5,5,8,
M,2,5,5,28,
M,3,5,5,12,
M,4,5,5,12,
M,5,5,5,8,
T,1,5,6,10,
T,2,5,6,8,
T,3,5,6,25,
T,4,5,6,10,
T,5,5,6,13,
T,1,5,7,11,
T,2,5,7,9,
T,1,5,8,11,
T,2,5,8,11,
T,3,5,8,10,
T,4,5,8,6,
T,5,5,8,6,
T,1,5,9,10,
T,2,5,9,14,
T,3,5,9,11,
T,4,5,9,17,
T,5,5,9,,g
W,1,5,10,8,
W,2,5,10,11,
W,3,5,10,12,
W,4,5,10,8,
W,5,5,10,8,
W,1,5,11,7,
W,2,5,11,8,
W,3,5,11,,h
W,4,5,11,12,
W,5,5,11,13,
W,1,5,12,10,
W,2,5,12,8,
W,3,5,12,,h
W,4,5,12,,h
W,5,5,12,15,
W,1,5,13,6,
W,2,5,13,5,
W,3,5,13,5,
W,4,5,13,10,
W,5,5,13,7,
W,1,5,14,10,
W,2,5,14,15,
W,1,5,15,10,
W,2,5,15,10,
W,3,5,15,19,
W,4,5,15,,h
W,5,5,15,7,
W,1,5,16,7,
W,2,5,16,10,
W,3,5,16,,h
W,4,5,16,5,
W,5,5,16,5,
M,1,6,1,11,
M,2,6,1,39,
M,3,6,1,13,
M,4,6,1,,h
M,5,6,1,20,
M,1,6,2,10,
M,2,6,2,23,
M,3,6,2,13,
M,1,6,3,10,
M,2,6,3,28,
M,3,6,3,,h
M,4,6,3,,h
M,5,6,3,13,
M,1,6,4,6,
M,2,6,4,6,
M,4,6,4,9,
M,5,6,4,26,
M,1,6,5,14,
M,2,6,5,8,
M,3,6,5,25,
M,4,6,5,6,
M,5,6,5,,g
T,1,6,6,12,
T,2,6,6,9,
T,3,6,6,20,
T,4,6,6,,h
T,5,6,6,17,
T,1,6,7,13,
T,2,6,7,11,
T,1,6,8,9,
T,2,6,8,10,
T,3,6,8,6,
T,4,6,8,8,
T,5,6,8,12,
T,1,6,9,15,
T,2,6,9,17,
T,3,6,9,32,
T,4,6,9,18,
T,5,6,9,13,
W,1,6,10,8,
W,2,6,10,47,
W,3,6,10,12,
W,4,6,10,23,
W,5,6,10,12,
W,1,6,11,8,
W,2,6,11,18,
W,3,6,11,9,
W,4,6,11,12,
W,5,6,11,11,
W,1,6,12,17,
W,2,6,12,7,
W,3,6,12,6,
W,4,6,12,7,
W,5,6,12,5,
W,1,6,13,8,
W,2,6,13,7,
W,3,6,13,6,
W,4,6,13,8,
W,5,6,13,11,
W,1,6,14,5,
W,2,6,14,53,
W,1,6,15,8,
W,2,6,15,18,
W,3,6,15,25,
W,4,6,15,17,
W,5,6,15,26,
W,1,6,16,9,
W,2,6,16,9,
W,3,6,16,4,
W,4,6,16,7,
W,5,6,16,7,
M,1,7,1,16,
M,2,7,1,12,
M,3,7,1,9,
M,4,7,1,9,
M,5,7,1,11,
M,1,7,2,10,
M,2,7,2,13,
M,3,7,2,13,
M,1,7,3,9,
M,2,7,3,26,
M,3,7,3,9,
M,4,7,3,20,
M,5,7,3,26,
M,1,7,4,8,
M,2,7,4,17,
M,4,7,4,10,
M,5,7,4,11,
M,1,7,5,10,
M,2,7,5,40,
M,3,7,5,,h
M,4,7,5,9,
M,5,7,5,22,
T,1,7,6,14,
T,2,7,6,13,
T,3,7,6,,h
T,4,7,6,12,
T,5,7,6,8,
T,1,7,7,14,
T,2,7,7,11,
T,1,7,8,9,
T,2,7,8,16,
T,3,7,8,11,
T,4,7,8,9,
T,5,7,8,10,
T,1,7,9,12,
T,2,7,9,14,
T,3,7,9,18,
T,4,7,9,,h
T,5,7,9,17,
W,1,7,10,9,
W,2,7,10,11,
W,3,7,10,13,
W,4,7,10,7,
W,5,7,10,8,
W,1,7,11,21,
W,2,7,11,10,
W,3,7,11,10,
W,4,7,11,14,
W,5,7,11,10,
W,1,7,12,11,
W,2,7,12,8,
W,3,7,12,12,
W,4,7,12,27,
W,5,7,12,,h
W,1,7,13,9,
W,2,7,13,6,
W,3,7,13,,h
W,4,7,13,9,
W,5,7,13,8,
W,1,7,14,8,
W,2,7,14,7,
W,1,7,15,7,
W,2,7,15,12,
W,3,7,15,19,
W,4,7,15,21,
W,5,7,15,12,
W,1,7,16,8,
W,2,7,16,5,
W,3,7,16,5,
W,4,7,16,3,
W,5,7,16,7,
M,1,8,1,14,
M,2,8,1,51,
M,3,8,1,,h
M,4,8,1,,h
M,5,8,1,27,
M,1,8,2,15,
M,2,8,2,29,
M,3,8,2,23,
M,1,8,3,11,
M,2,8,3,47,
M,3,8,3,8,
M,4,8,3,25,
M,5,8,3,,h
M,1,8,4,14,
M,2,8,4,13,
M,4,8,4,10,
M,5,8,4,11,
M,1,8,5,16,
M,2,8,5,60,s
M,3,8,5,9,
M,4,8,5,,h
M,5,8,5,24,
T,1,8,6,8,
T,2,8,6,23,
T,3,8,6,12,
T,4,8,6,9,
T,5,8,6,17,
T,1,8,7,24,
T,2,8,7,21,
T,1,8,8,12,
T,2,8,8,9,
T,3,8,8,13,
T,4,8,8,19,
T,5,8,8,19,
T,1,8,9,16,
T,2,8,9,14,
T,3,8,9,,h
T,4,8,9,9,
T,5,8,9,,h
W,1,8,10,8,
W,2,8,10,10,
W,3,8,10,11,
W,4,8,10,15,
W,5,8,10,12,
W,1,8,11,16,
W,2,8,11,20,
W,3,8,11,6,
W,4,8,11,18,
W,5,8,11,,h
W,1,8,12,12,
W,2,8,12,20,
W,3,8,12,14,
W,4,8,12,17,
W,5,8,12,9,
W,1,8,13,9,
W,2,8,13,13,
W,3,8,13,7,
W,4,8,13,9,
W,5,8,13,9,
W,1,8,14,9,
W,2,8,14,18,
W,1,8,15,9,
W,2,8,15,8,
W,3,8,15,39,
W,4,8,15,22,
W,5,8,15,15,
W,1,8,16,12,
W,2,8,16,7,
W,3,8,16,,h
W,4,8,16,5,
W,5,8,16,,h
M,1,9,1,14,
M,2,9,1,19,
M,3,9,1,34,
M,4,9,1,34,
M,5,9,1,,h
M,1,9,2,13,
M,2,9,2,60,s
M,3,9,2,9,
M,1,9,3,26,
M,2,9,3,30,
M,3,9,3,,h
M,4,9,3,,h
M,5,9,3,10,
M,1,9,4,34,
M,2,9,4,26,
M,4,9,4,7,
M,5,9,4,12,
M,1,9,5,24,
M,2,9,5,60,s
M,3,9,5,8,
M,4,9,5,23,
M,5,9,5,,g
T,1,9,6,22,
T,2,9,6,12,
T,3,9,6,14,
T,4,9,6,12,
T,5,9,6,12,
T,1,9,7,13,
T,2,9,7,16,
T,1,9,8,12,
T,2,9,8,9,
T,3,9,8,,h
T,4,9,8,22,
T,5,9,8,24,
