Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
W,2,18,10,50,
W,3,18,10,60,s
W,4,18,10,60,s
W,5,18,10,,h
W,1,18,11,60,s
W,2,18,11,60,s
W,3,18,11,50,
W,4,18,11,43,
W,5,18,11,60,s
W,1,18,12,47,
W,2,18,12,60,s
W,3,18,12,,h
W,4,18,12,60,s
W,5,18,12,11,
W,1,18,13,60,s
W,2,18,13,60,s
W,3,18,13,5,
W,4,18,13,47,
W,5,18,13,41,
W,1,18,14,55,
W,2,18,14,60,s
W,1,18,15,60,s
W,2,18,15,60,s
W,3,18,15,,h
W,4,18,15,,h
W,5,18,15,,g
W,1,18,16,60,s
W,2,18,16,60,s
W,3,18,16,4,
W,4,18,16,28,
W,5,18,16,,h
M,1,19,1,60,s
M,2,19,1,60,s
M,3,19,1,17,
M,4,19,1,14,
M,5,19,1,,h
M,1,19,2,60,s
M,2,19,2,49,
M,3,19,2,60,s
M,1,19,3,59,
M,2,19,3,60,s
M,3,19,3,15,
M,4,19,3,51,
M,5,19,3,60,s
M,1,19,4,60,s
M,2,19,4,60,s
M,4,19,4,25,
M,5,19,4,30,
M,1,19,5,60,s
M,2,19,5,60,s
M,3,19,5,,h
M,4,19,5,,h
M,5,19,5,60,s
T,1,19,6,60,s
T,2,19,6,60,s
T,3,19,6,35,
T,4,19,6,34,
T,5,19,6,60,s
T,1,19,7,60,s
T,2,19,7,60,s
T,1,19,8,60,s
T,2,19,8,42,
T,3,19,8,21,
T,4,19,8,38,
T,5,19,8,36,
T,1,19,9,38,
T,2,19,9,60,s
T,3,19,9,,h
T,4,19,9,,h
T,5,19,9,12,
W,1,19,10,60,s
W,2,19,10,60,s
W,3,19,10,,h
W,4,19,10,47,
W,5,19,10,29,
W,1,19,11,60,s
W,2,19,11,60,s
W,3,19,11,60,s
W,4,19,11,60,s
W,5,19,11,,h
W,1,19,12,60,s
W,2,19,12,60,s
W,3,19,12,41,
W,4,19,12,60,s
W,5,19,12,9,
W,1,19,13,45,
W,2,19,13,60,s
W,3,19,13,,h
W,4,19,13,60,s
W,5,19,13,,h
W,1,19,14,60,s
W,2,19,14,60,s
W,1,19,15,60,s
W,2,19,15,60,s
W,3,19,15,60,s
W,4,19,15,30,
W,5,19,15,,h
W,1,19,16,60,s
W,2,19,16,60,s
W,3,19,16,60,s
W,4,19,16,49,
W,5,19,16,3,
M,1,20,,60,s
M,2,20,,60,s
M,3,20,,60,s
M,4,20,,60,s
M,5,20,,29,
M,1,20,,60,s
M,2,20,,60,s
M,3,20,,7,
M,1,20,,60,s
M,2,20,,60,s
M,3,20,,57,
M,4,20,,60,s
M,5,20,,,g
M,1,20,,60,s
M,2,20,,50,
M,4,20,,40,
M,5,20,,12,
M,1,20,,60,s
M,2,20,,60,s
M,3,20,,28,
M,4,20,,60,s
M,5,20,,,h
T,1,20,,60,s
T,2,20,,60,s
T,3,20,,35,
T,4,20,,60,s
T,5,20,,53,
T,1,20,,60,s
T,2,20,,60,s
T,1,20,,60,s
T,2,20,,60,s
T,3,20,,,h
T,4,20,,60,s
T,5,20,,,h
T,1,20,,60,s
T,2,20,,48,
T,3,20,,21,
T,4,20,,59,
T,5,20,,,h
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,51,
W,4,20,,60,s
W,5,20,,,h
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,60,s
W,4,20,,,h
W,5,20,,49,
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,60,s
W,4,20,,60,s
W,5,20,,60,s
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,47,
W,4,20,,60,s
W,5,20,,60,s
W,1,20,,60,s
W,2,20,,60,s
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,,h
W,4,20,,60,s
W,5,20,,,h
W,1,20,,60,s
W,2,20,,60,s
W,3,20,,26,
W,4,20,,60,s
W,5,20,,13,
