Sex,AgeClass,dx
Male,0,53
Male,10,16
Male,20,20
Male,30,31
Male,40,50
Male,50,60
Male,60,112
Male,70,146
Male,80,92
Male,90,18
Male,100,1
Male,110,0
Female,0,43
Female,10,13
Female,20,22
Female,30,42
Female,40,20
Female,50,37
Female,60,67
Female,70,130
Female,80,124
Female,90,53
Female,10,3
Female,110,0
