Sex,AgeClass,dx
Male,0,14
Male,10,18
Male,20,47
Male,30,44
Male,40,56
Male,50,112
Male,60,179
Male,70,196
Male,80,145
Male,90,37
Male,100,2
Male,110,0
Female,0,63
Female,10,27
Female,20,41
Female,30,42
Female,40,42
Female,50,77
Female,60,137
Female,70,198
Female,80,194
Female,90,71
Female,10,5
Female,110,0
