Sex,AgeClass,dx
Male,0,44
Male,10,12
Male,20,26
Male,30,46
Male,40,103
Male,50,165
Male,60,210
Male,70,297
Male,80,185
Male,90,44
Male,100,2
Male,110,0
Female,0,30
Female,10,10
Female,20,25
Female,30,39
Female,40,79
Female,50,107
Female,60,189
Female,70,292
Female,80,277
Female,90,100
Female,10,7
Female,110,2
