Sex,AgeClass,dx
Male,0,6
Male,10,2
Male,20,4
Male,30,11
Male,40,3
Male,50,6
Male,60,13
Male,70,17
Male,80,11
Male,90,4
Male,100,0
Male,110,0
Female,0,9
Female,10,3
Female,20,4
Female,30,5
Female,40,5
Female,50,11
Female,60,13
Female,70,18
Female,80,14
Female,90,5
Female,10,1
Female,110,0
